task_id,task_type,domain,prompt,expected_answer,expected_format,risk_level,safety_required,max_latency_ms,max_cost_usd,min_quality_score,allowed_model_classes,evaluation_slice,golden_label,latency_sensitive_flag,cost_sensitive_flag,domain_specialized_flag,created_at
task_00027,retrieval_qa,insurance,Synthetic insurance request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in insurance.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",insurance_retrieval_qa_high,insurance:retrieval_qa:high,False,False,False,2026-01-15T12:00:00+00:00
task_00028,policy_answering,cybersecurity,Synthetic cybersecurity request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in cybersecurity.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_policy_answering_high,cybersecurity:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00029,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00030,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00031,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00032,customer_support_response,software_engineering,Synthetic software_engineering request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_customer_support_response_low,software_engineering:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00033,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00034,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,True,False,2026-01-15T12:00:00+00:00
task_00035,batch_low_risk_summary,healthcare,Synthetic healthcare request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in healthcare.,markdown,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_batch_low_risk_summary_medium,healthcare:batch_low_risk_summary:medium,False,True,False,2026-01-15T12:00:00+00:00
task_00036,classification,cybersecurity,Synthetic cybersecurity request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in cybersecurity.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_classification_high,cybersecurity:classification:high,False,False,False,2026-01-15T12:00:00+00:00
task_00037,extraction,retail,Synthetic retail request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in retail.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_extraction_low,retail:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00038,summarization,customer_support,Synthetic customer_support request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in customer_support.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_summarization_low,customer_support:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00039,retrieval_qa,legal,Synthetic legal request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in legal.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",legal_retrieval_qa_high,legal:retrieval_qa:high,False,False,False,2026-01-15T12:00:00+00:00
task_00040,policy_answering,software_engineering,Synthetic software_engineering request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in software_engineering.,markdown,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",software_engineering_policy_answering_high,software_engineering:policy_answering:high,True,False,False,2026-01-15T12:00:00+00:00
task_00041,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00042,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00043,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00044,customer_support_response,insurance,Synthetic insurance request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in insurance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_customer_support_response_low,insurance:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00045,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,medium,False,900,0.003,0.76,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_medium,software_engineering:code_assistance:medium,False,False,True,2026-01-15T12:00:00+00:00
task_00046,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00047,batch_low_risk_summary,customer_support,Synthetic customer_support request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in customer_support.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_batch_low_risk_summary_low,customer_support:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00048,classification,software_engineering,Synthetic software_engineering request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in software_engineering.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_classification_low,software_engineering:classification:low,False,False,False,2026-01-15T12:00:00+00:00
task_00049,extraction,general_business,Synthetic general_business request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in general_business.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_extraction_low,general_business:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00050,summarization,finance,Synthetic finance request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in finance.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_summarization_medium,finance:summarization:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00051,retrieval_qa,healthcare,Synthetic healthcare request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in healthcare.,markdown,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_retrieval_qa_high,healthcare:retrieval_qa:high,False,True,False,2026-01-15T12:00:00+00:00
task_00052,policy_answering,insurance,Synthetic insurance request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in insurance.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",insurance_policy_answering_high,insurance:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00053,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00054,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00055,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_medium,finance:finance_explanation:medium,False,False,True,2026-01-15T12:00:00+00:00
task_00056,customer_support_response,legal,Synthetic legal request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in legal.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_customer_support_response_low,legal:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00057,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00058,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00059,batch_low_risk_summary,finance,Synthetic finance request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in finance.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_batch_low_risk_summary_low,finance:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00060,classification,insurance,Synthetic insurance request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in insurance.,json,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",insurance_classification_high,insurance:classification:high,True,False,False,2026-01-15T12:00:00+00:00
task_00061,extraction,cybersecurity,Synthetic cybersecurity request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in cybersecurity.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",cybersecurity_extraction_low,cybersecurity:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00062,summarization,retail,Synthetic retail request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in retail.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_summarization_low,retail:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00063,retrieval_qa,customer_support,Synthetic customer_support request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in customer_support.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_retrieval_qa_low,customer_support:retrieval_qa:low,False,False,False,2026-01-15T12:00:00+00:00
task_00064,policy_answering,legal,Synthetic legal request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in legal.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",legal_policy_answering_high,legal:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00065,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00066,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00067,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00068,customer_support_response,healthcare,Synthetic healthcare request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in healthcare.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_customer_support_response_low,healthcare:customer_support_response:low,False,True,False,2026-01-15T12:00:00+00:00
task_00069,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
