task_id,model_id,response_text,simulated_quality_score,simulated_safety_score,simulated_latency_ms,simulated_cost_usd,simulated_reliability_score,simulated_refusal_flag,format_valid_flag,error_flag,timeout_flag,confidence_score
task_00003,cheap_batch_model,Simulated Cheap Batch Model response for retrieval_qa in cybersecurity.,0.328,0.58,640,0.000403,0.93,False,False,False,False,0.6127
task_00003,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in cybersecurity.,0.888,0.84,940,0.004704,0.9,False,True,False,False,0.876
task_00003,fallback_model,Simulated Fallback Model response for retrieval_qa in cybersecurity.,0.608,0.91,720,0.002016,0.99,False,True,False,False,0.836
task_00004,fast_small_model,Simulated Fast Small Model response for policy_answering in retail.,0.472,0.56,451,0.000882,0.94,False,False,False,False,0.6573
task_00004,balanced_general_model,Simulated Balanced General Model response for policy_answering in retail.,0.782,0.82,902,0.004032,0.96,False,True,False,False,0.854
task_00004,accurate_large_model,Simulated Accurate Large Model response for policy_answering in retail.,0.892,0.87,1637,0.01512,0.95,False,True,False,False,0.904
task_00004,safety_guarded_model,Simulated Safety Guarded Model response for policy_answering in retail.,0.832,0.99,1165,0.009576,0.97,False,True,False,False,0.9307
task_00004,finance_domain_model,Simulated Finance Domain Model response for policy_answering in retail.,0.672,0.88,1039,0.006804,0.95,False,True,False,False,0.834
task_00004,healthcare_domain_model,Simulated Healthcare Domain Model response for policy_answering in retail.,0.682,0.98,1081,0.00756,0.96,False,True,False,False,0.874
task_00004,code_specialist_model,Simulated Code Specialist Model response for policy_answering in retail.,0.662,0.64,871,0.005544,0.94,False,True,False,False,0.7473
task_00004,cheap_batch_model,Simulated Cheap Batch Model response for policy_answering in retail.,0.332,0.58,661,0.000454,0.93,False,False,False,False,0.614
task_00004,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in retail.,0.892,0.84,976,0.005292,0.9,False,True,False,False,0.8773
task_00004,fallback_model,Simulated Fallback Model response for policy_answering in retail.,0.612,0.91,745,0.002268,0.99,False,True,False,False,0.8373
task_00005,fast_small_model,Simulated Fast Small Model response for fraud_triage in finance.,0.476,0.56,462,0.00049,0.94,False,False,False,False,0.6587
task_00005,balanced_general_model,Simulated Balanced General Model response for fraud_triage in finance.,0.786,0.82,935,0.00224,0.96,False,True,False,False,0.8553
task_00005,accurate_large_model,Simulated Accurate Large Model response for fraud_triage in finance.,0.896,0.87,1705,0.0084,0.95,False,True,False,False,0.9053
task_00005,safety_guarded_model,Simulated Safety Guarded Model response for fraud_triage in finance.,0.836,0.99,1210,0.00532,0.97,False,True,False,False,0.932
task_00005,finance_domain_model,Simulated Finance Domain Model response for fraud_triage in finance.,0.946,0.88,1078,0.00378,0.95,False,True,False,False,0.9253
task_00005,healthcare_domain_model,Simulated Healthcare Domain Model response for fraud_triage in finance.,0.686,0.98,1122,0.0042,0.96,False,True,False,False,0.8753
task_00005,code_specialist_model,Simulated Code Specialist Model response for fraud_triage in finance.,0.666,0.64,902,0.00308,0.94,False,True,False,False,0.7487
task_00005,cheap_batch_model,Simulated Cheap Batch Model response for fraud_triage in finance.,0.336,0.58,682,0.000252,0.93,False,False,False,False,0.6153
task_00005,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.896,0.84,1012,0.00294,0.9,False,True,False,False,0.8787
task_00005,fallback_model,Simulated Fallback Model response for fraud_triage in finance.,0.616,0.91,770,0.00126,0.99,False,True,False,False,0.8387
task_00006,fast_small_model,Simulated Fast Small Model response for healthcare_claim_review in healthcare.,0.48,0.56,473,0.000588,0.94,False,False,False,False,0.66
task_00006,balanced_general_model,Simulated Balanced General Model response for healthcare_claim_review in healthcare.,0.79,0.82,967,0.002688,0.96,False,True,False,False,0.8567
task_00006,accurate_large_model,Simulated Accurate Large Model response for healthcare_claim_review in healthcare.,0.9,0.87,1772,0.01008,0.95,False,True,False,False,0.9067
task_00006,safety_guarded_model,Simulated Safety Guarded Model response for healthcare_claim_review in healthcare.,0.84,0.99,1255,0.006384,0.97,True,True,False,False,0.9333
task_00006,finance_domain_model,Simulated Finance Domain Model response for healthcare_claim_review in healthcare.,0.68,0.88,1117,0.004536,0.95,False,True,False,False,0.8367
task_00006,healthcare_domain_model,Simulated Healthcare Domain Model response for healthcare_claim_review in healthcare.,0.96,0.98,1163,0.00504,0.96,False,True,False,False,0.9667
task_00006,code_specialist_model,Simulated Code Specialist Model response for healthcare_claim_review in healthcare.,0.67,0.64,933,0.003696,0.94,False,True,False,False,0.75
task_00006,cheap_batch_model,Simulated Cheap Batch Model response for healthcare_claim_review in healthcare.,0.34,0.58,703,0.000302,0.93,False,False,False,False,0.6167
task_00006,experimental_canary_model,Simulated Experimental Canary Model response for healthcare_claim_review in healthcare.,0.82,0.84,1048,0.003528,0.9,False,True,False,False,0.8533
task_00006,fallback_model,Simulated Fallback Model response for healthcare_claim_review in healthcare.,0.62,0.91,795,0.001512,0.99,False,True,False,False,0.84
task_00007,fast_small_model,Simulated Fast Small Model response for finance_explanation in finance.,0.664,0.68,187,0.00049,0.94,False,True,False,False,0.7613
task_00007,balanced_general_model,Simulated Balanced General Model response for finance_explanation in finance.,0.794,0.82,552,0.00224,0.96,False,True,False,False,0.858
task_00007,accurate_large_model,Simulated Accurate Large Model response for finance_explanation in finance.,0.904,0.87,1147,0.0084,0.95,False,True,False,False,0.908
task_00007,safety_guarded_model,Simulated Safety Guarded Model response for finance_explanation in finance.,0.844,0.96,765,0.00532,0.97,False,True,False,False,0.9247
task_00007,finance_domain_model,Simulated Finance Domain Model response for finance_explanation in finance.,0.954,0.88,663,0.00378,0.95,False,True,False,False,0.928
task_00007,healthcare_domain_model,Simulated Healthcare Domain Model response for finance_explanation in finance.,0.694,0.94,697,0.0042,0.96,False,True,False,False,0.8647
task_00007,code_specialist_model,Simulated Code Specialist Model response for finance_explanation in finance.,0.674,0.76,527,0.00308,0.94,False,True,False,False,0.7913
task_00007,cheap_batch_model,Simulated Cheap Batch Model response for finance_explanation in finance.,0.524,0.7,357,0.000252,0.93,False,False,False,False,0.718
task_00007,experimental_canary_model,Simulated Experimental Canary Model response for finance_explanation in finance.,0.904,0.84,612,0.00294,0.9,False,True,False,False,0.8813
task_00007,fallback_model,Simulated Fallback Model response for finance_explanation in finance.,0.624,0.91,425,0.00126,0.99,False,True,False,False,0.8413
task_00008,fast_small_model,Simulated Fast Small Model response for customer_support_response in general_business.,0.668,0.68,198,0.00056,0.94,False,True,False,False,0.7627
task_00008,balanced_general_model,Simulated Balanced General Model response for customer_support_response in general_business.,0.798,0.82,585,0.00256,0.96,False,True,False,False,0.8593
task_00008,accurate_large_model,Simulated Accurate Large Model response for customer_support_response in general_business.,0.908,0.87,1215,0.0096,0.95,False,True,False,False,0.9093
task_00008,safety_guarded_model,Simulated Safety Guarded Model response for customer_support_response in general_business.,0.848,0.96,810,0.00608,0.97,False,True,False,False,0.926
task_00008,finance_domain_model,Simulated Finance Domain Model response for customer_support_response in general_business.,0.688,0.88,702,0.00432,0.95,False,True,False,False,0.8393
task_00008,healthcare_domain_model,Simulated Healthcare Domain Model response for customer_support_response in general_business.,0.698,0.94,738,0.0048,0.96,False,True,False,False,0.866
task_00008,code_specialist_model,Simulated Code Specialist Model response for customer_support_response in general_business.,0.678,0.76,558,0.00352,0.94,False,True,False,False,0.7927
task_00008,cheap_batch_model,Simulated Cheap Batch Model response for customer_support_response in general_business.,0.528,0.7,378,0.000288,0.93,False,False,False,False,0.7193
task_00008,experimental_canary_model,Simulated Experimental Canary Model response for customer_support_response in general_business.,0.908,0.84,648,0.00336,0.9,False,True,False,False,0.8827
task_00008,fallback_model,Simulated Fallback Model response for customer_support_response in general_business.,0.628,0.91,450,0.00144,0.99,False,True,False,False,0.8427
task_00009,fast_small_model,Simulated Fast Small Model response for code_assistance in software_engineering.,0.672,0.68,209,0.00063,0.94,False,True,False,False,0.764
task_00009,balanced_general_model,Simulated Balanced General Model response for code_assistance in software_engineering.,0.802,0.82,617,0.00288,0.96,False,True,False,False,0.8607
task_00009,accurate_large_model,Simulated Accurate Large Model response for code_assistance in software_engineering.,0.912,0.87,1282,0.0108,0.95,False,True,False,False,0.9107
task_00009,safety_guarded_model,Simulated Safety Guarded Model response for code_assistance in software_engineering.,0.852,0.96,855,0.00684,0.97,False,True,False,False,0.9273
task_00009,finance_domain_model,Simulated Finance Domain Model response for code_assistance in software_engineering.,0.692,0.88,741,0.00486,0.95,False,True,False,False,0.8407
task_00009,healthcare_domain_model,Simulated Healthcare Domain Model response for code_assistance in software_engineering.,0.702,0.94,779,0.0054,0.96,False,True,False,False,0.8673
task_00009,code_specialist_model,Simulated Code Specialist Model response for code_assistance in software_engineering.,0.99,0.76,589,0.00396,0.94,False,True,False,False,0.8967
task_00009,cheap_batch_model,Simulated Cheap Batch Model response for code_assistance in software_engineering.,0.532,0.7,399,0.000324,0.93,False,False,False,False,0.7207
task_00009,experimental_canary_model,Simulated Experimental Canary Model response for code_assistance in software_engineering.,0.912,0.84,684,0.00378,0.9,False,True,False,False,0.884
task_00009,fallback_model,Simulated Fallback Model response for code_assistance in software_engineering.,0.632,0.91,475,0.00162,0.99,False,True,False,False,0.844
task_00010,fast_small_model,Simulated Fast Small Model response for safety_sensitive_answer in healthcare.,0.496,0.56,440,0.00049,0.94,False,False,False,False,0.6653
task_00010,balanced_general_model,Simulated Balanced General Model response for safety_sensitive_answer in healthcare.,0.806,0.82,870,0.00224,0.96,False,True,False,False,0.862
task_00010,accurate_large_model,Simulated Accurate Large Model response for safety_sensitive_answer in healthcare.,0.916,0.87,1570,0.0084,0.95,False,True,False,False,0.912
task_00010,safety_guarded_model,Simulated Safety Guarded Model response for safety_sensitive_answer in healthcare.,0.856,0.99,1120,0.00532,0.97,False,True,False,False,0.9387
task_00010,finance_domain_model,Simulated Finance Domain Model response for safety_sensitive_answer in healthcare.,0.696,0.88,1000,0.00378,0.95,False,True,False,False,0.842
task_00010,healthcare_domain_model,Simulated Healthcare Domain Model response for safety_sensitive_answer in healthcare.,0.976,0.98,1040,0.0042,0.96,False,True,False,False,0.972
task_00010,code_specialist_model,Simulated Code Specialist Model response for safety_sensitive_answer in healthcare.,0.686,0.64,840,0.00308,0.94,False,True,False,False,0.7553
task_00010,cheap_batch_model,Simulated Cheap Batch Model response for safety_sensitive_answer in healthcare.,0.356,0.58,640,0.000252,0.93,False,False,False,False,0.622
task_00010,experimental_canary_model,Simulated Experimental Canary Model response for safety_sensitive_answer in healthcare.,0.836,0.84,940,0.00294,0.9,False,True,False,False,0.8587
task_00010,fallback_model,Simulated Fallback Model response for safety_sensitive_answer in healthcare.,0.636,0.91,720,0.00126,0.99,False,True,False,False,0.8453
task_00011,fast_small_model,Simulated Fast Small Model response for batch_low_risk_summary in insurance.,0.68,0.68,231,0.00042,0.94,False,True,False,False,0.7667
task_00011,balanced_general_model,Simulated Balanced General Model response for batch_low_risk_summary in insurance.,0.81,0.82,682,0.00192,0.96,False,True,False,False,0.8633
task_00011,accurate_large_model,Simulated Accurate Large Model response for batch_low_risk_summary in insurance.,0.92,0.87,1417,0.0072,0.95,False,True,False,False,0.9133
task_00011,safety_guarded_model,Simulated Safety Guarded Model response for batch_low_risk_summary in insurance.,0.86,0.96,945,0.00456,0.97,False,True,False,False,0.93
task_00011,finance_domain_model,Simulated Finance Domain Model response for batch_low_risk_summary in insurance.,0.7,0.88,819,0.00324,0.95,False,True,False,False,0.8433
task_00011,healthcare_domain_model,Simulated Healthcare Domain Model response for batch_low_risk_summary in insurance.,0.8,0.94,861,0.0036,0.96,False,True,False,False,0.9
task_00011,code_specialist_model,Simulated Code Specialist Model response for batch_low_risk_summary in insurance.,0.69,0.76,651,0.00264,0.94,False,True,False,False,0.7967
task_00011,cheap_batch_model,Simulated Cheap Batch Model response for batch_low_risk_summary in insurance.,0.62,0.7,441,0.000216,0.93,False,True,False,False,0.75
task_00011,experimental_canary_model,Simulated Experimental Canary Model response for batch_low_risk_summary in insurance.,0.92,0.84,756,0.00252,0.85,False,True,False,False,0.87
task_00011,fallback_model,Simulated Fallback Model response for batch_low_risk_summary in insurance.,0.64,0.91,525,0.00108,0.99,False,True,False,False,0.8467
task_00012,fast_small_model,Simulated Fast Small Model response for classification in retail.,0.684,0.68,242,0.00049,0.94,False,True,False,False,0.768
task_00012,balanced_general_model,Simulated Balanced General Model response for classification in retail.,0.814,0.82,715,0.00224,0.96,False,True,False,False,0.8647
task_00012,accurate_large_model,Simulated Accurate Large Model response for classification in retail.,0.924,0.87,1485,0.0084,0.95,False,True,False,False,0.9147
task_00012,safety_guarded_model,Simulated Safety Guarded Model response for classification in retail.,0.864,0.96,990,0.00532,0.97,False,True,False,False,0.9313
task_00012,finance_domain_model,Simulated Finance Domain Model response for classification in retail.,0.704,0.88,858,0.00378,0.95,False,True,False,False,0.8447
task_00012,healthcare_domain_model,Simulated Healthcare Domain Model response for classification in retail.,0.714,0.94,902,0.0042,0.96,False,True,False,False,0.8713
task_00012,code_specialist_model,Simulated Code Specialist Model response for classification in retail.,0.694,0.76,682,0.00308,0.94,False,True,False,False,0.798
task_00012,cheap_batch_model,Simulated Cheap Batch Model response for classification in retail.,0.724,0.7,462,0.000252,0.93,False,True,False,False,0.7847
task_00012,experimental_canary_model,Simulated Experimental Canary Model response for classification in retail.,0.924,0.84,792,0.00294,0.9,False,True,False,False,0.888
task_00012,fallback_model,Simulated Fallback Model response for classification in retail.,0.644,0.91,550,0.00126,0.99,False,True,False,False,0.848
task_00013,fast_small_model,Simulated Fast Small Model response for extraction in customer_support.,0.636,0.68,252,0.00056,0.94,False,True,False,False,0.752
task_00013,balanced_general_model,Simulated Balanced General Model response for extraction in customer_support.,0.766,0.82,747,0.00256,0.96,False,True,False,False,0.8487
task_00013,accurate_large_model,Simulated Accurate Large Model response for extraction in customer_support.,0.876,0.87,1552,0.0096,0.95,False,True,False,False,0.8987
task_00013,safety_guarded_model,Simulated Safety Guarded Model response for extraction in customer_support.,0.816,0.96,1035,0.00608,0.97,False,True,False,False,0.9153
task_00013,finance_domain_model,Simulated Finance Domain Model response for extraction in customer_support.,0.656,0.88,896,0.00432,0.95,False,True,False,False,0.8287
task_00013,healthcare_domain_model,Simulated Healthcare Domain Model response for extraction in customer_support.,0.666,0.94,942,0.0048,0.96,False,True,False,False,0.8553
task_00013,code_specialist_model,Simulated Code Specialist Model response for extraction in customer_support.,0.646,0.76,713,0.00352,0.94,False,True,False,False,0.782
task_00013,cheap_batch_model,Simulated Cheap Batch Model response for extraction in customer_support.,0.676,0.7,482,0.000288,0.93,False,True,False,False,0.7687
task_00013,experimental_canary_model,Simulated Experimental Canary Model response for extraction in customer_support.,0.876,0.84,827,0.00336,0.9,False,True,False,False,0.872
task_00013,fallback_model,Simulated Fallback Model response for extraction in customer_support.,0.596,0.91,575,0.00144,0.99,False,True,False,False,0.832
task_00014,fast_small_model,Simulated Fast Small Model response for summarization in legal.,0.64,0.68,187,0.00063,0.94,False,True,False,False,0.7533
task_00014,balanced_general_model,Simulated Balanced General Model response for summarization in legal.,0.77,0.82,552,0.00288,0.96,False,True,False,False,0.85
task_00014,accurate_large_model,Simulated Accurate Large Model response for summarization in legal.,0.88,0.87,1147,0.0108,0.95,False,True,False,False,0.9
task_00014,safety_guarded_model,Simulated Safety Guarded Model response for summarization in legal.,0.82,0.96,765,0.00684,0.97,False,True,False,False,0.9167
task_00014,finance_domain_model,Simulated Finance Domain Model response for summarization in legal.,0.66,0.88,663,0.00486,0.95,False,True,False,False,0.83
task_00014,healthcare_domain_model,Simulated Healthcare Domain Model response for summarization in legal.,0.85,0.94,697,0.0054,0.96,False,True,False,False,0.9167
task_00014,code_specialist_model,Simulated Code Specialist Model response for summarization in legal.,0.65,0.76,527,0.00396,0.94,False,True,False,False,0.7833
task_00014,cheap_batch_model,Simulated Cheap Batch Model response for summarization in legal.,0.5,0.7,357,0.000324,0.93,False,False,False,False,0.71
task_00014,experimental_canary_model,Simulated Experimental Canary Model response for summarization in legal.,0.8,0.84,612,0.00378,0.9,False,True,False,False,0.8467
task_00014,fallback_model,Simulated Fallback Model response for summarization in legal.,0.6,0.91,425,0.00162,0.99,False,True,False,False,0.8333
task_00015,fast_small_model,Simulated Fast Small Model response for retrieval_qa in software_engineering.,0.644,0.68,198,0.00035,0.94,False,True,False,False,0.7547
task_00015,balanced_general_model,Simulated Balanced General Model response for retrieval_qa in software_engineering.,0.774,0.82,585,0.0016,0.96,False,True,False,False,0.8513
task_00015,accurate_large_model,Simulated Accurate Large Model response for retrieval_qa in software_engineering.,0.884,0.87,1215,0.006,0.95,False,True,False,False,0.9013
task_00015,safety_guarded_model,Simulated Safety Guarded Model response for retrieval_qa in software_engineering.,0.824,0.96,810,0.0038,0.97,False,True,False,False,0.918
task_00015,finance_domain_model,Simulated Finance Domain Model response for retrieval_qa in software_engineering.,0.664,0.88,702,0.0027,0.95,False,True,False,False,0.8313
task_00015,healthcare_domain_model,Simulated Healthcare Domain Model response for retrieval_qa in software_engineering.,0.674,0.94,738,0.003,0.96,False,True,False,False,0.858
task_00015,code_specialist_model,Simulated Code Specialist Model response for retrieval_qa in software_engineering.,0.654,0.76,558,0.0022,0.94,False,True,False,False,0.7847
task_00015,cheap_batch_model,Simulated Cheap Batch Model response for retrieval_qa in software_engineering.,0.504,0.7,378,0.00018,0.93,False,False,False,False,0.7113
task_00015,experimental_canary_model,Simulated Experimental Canary Model response for retrieval_qa in software_engineering.,0.884,0.84,648,0.0021,0.9,False,True,False,False,0.8747
task_00015,fallback_model,Simulated Fallback Model response for retrieval_qa in software_engineering.,0.604,0.91,450,0.0009,0.99,False,True,False,False,0.8347
task_00016,fast_small_model,Simulated Fast Small Model response for policy_answering in general_business.,0.468,0.56,429,0.000588,0.94,False,False,False,False,0.656
task_00016,balanced_general_model,Simulated Balanced General Model response for policy_answering in general_business.,0.778,0.82,837,0.002688,0.96,False,True,False,False,0.8527
task_00016,accurate_large_model,Simulated Accurate Large Model response for policy_answering in general_business.,0.888,0.87,1502,0.01008,0.95,False,True,False,False,0.9027
task_00016,safety_guarded_model,Simulated Safety Guarded Model response for policy_answering in general_business.,0.828,0.99,1075,0.006384,0.97,False,True,False,False,0.9293
task_00016,finance_domain_model,Simulated Finance Domain Model response for policy_answering in general_business.,0.848,0.88,961,0.004536,0.95,False,True,False,False,0.8927
task_00016,healthcare_domain_model,Simulated Healthcare Domain Model response for policy_answering in general_business.,0.858,0.98,999,0.00504,0.96,False,True,False,False,0.9327
task_00016,code_specialist_model,Simulated Code Specialist Model response for policy_answering in general_business.,0.658,0.64,809,0.003696,0.94,False,True,False,False,0.746
task_00016,cheap_batch_model,Simulated Cheap Batch Model response for policy_answering in general_business.,0.328,0.58,619,0.000302,0.93,False,False,False,False,0.6127
task_00016,experimental_canary_model,Simulated Experimental Canary Model response for policy_answering in general_business.,0.888,0.84,904,0.003528,0.9,False,True,False,False,0.876
task_00016,fallback_model,Simulated Fallback Model response for policy_answering in general_business.,0.608,0.91,695,0.001512,0.99,False,True,False,False,0.836
task_00017,fast_small_model,Simulated Fast Small Model response for fraud_triage in finance.,0.472,0.56,440,0.000686,0.94,False,False,False,False,0.6573
task_00017,balanced_general_model,Simulated Balanced General Model response for fraud_triage in finance.,0.782,0.82,870,0.003136,0.96,False,True,False,False,0.854
task_00017,accurate_large_model,Simulated Accurate Large Model response for fraud_triage in finance.,0.892,0.87,1570,0.01176,0.95,False,True,False,False,0.904
task_00017,safety_guarded_model,Simulated Safety Guarded Model response for fraud_triage in finance.,0.832,0.99,1120,0.007448,0.97,False,True,False,False,0.9307
task_00017,finance_domain_model,Simulated Finance Domain Model response for fraud_triage in finance.,0.942,0.88,1000,0.005292,0.95,False,True,False,False,0.924
task_00017,healthcare_domain_model,Simulated Healthcare Domain Model response for fraud_triage in finance.,0.682,0.98,1040,0.00588,0.96,False,True,False,False,0.874
task_00017,code_specialist_model,Simulated Code Specialist Model response for fraud_triage in finance.,0.662,0.64,840,0.004312,0.94,False,True,False,False,0.7473
task_00017,cheap_batch_model,Simulated Cheap Batch Model response for fraud_triage in finance.,0.332,0.58,640,0.000353,0.93,False,False,False,False,0.614
task_00017,experimental_canary_model,Simulated Experimental Canary Model response for fraud_triage in finance.,0.892,0.84,940,0.004116,0.9,False,True,False,False,0.8773
task_00017,fallback_model,Simulated Fallback Model response for fraud_triage in finance.,0.612,0.91,720,0.001764,0.99,False,True,False,False,0.8373
task_00018,fast_small_model,Simulated Fast Small Model response for healthcare_claim_review in healthcare.,0.476,0.56,451,0.000784,0.94,False,False,False,False,0.6587
task_00018,balanced_general_model,Simulated Balanced General Model response for healthcare_claim_review in healthcare.,0.786,0.82,902,0.003584,0.96,False,True,False,False,0.8553
task_00018,accurate_large_model,Simulated Accurate Large Model response for healthcare_claim_review in healthcare.,0.896,0.87,1637,0.01344,0.95,False,True,False,False,0.9053
task_00018,safety_guarded_model,Simulated Safety Guarded Model response for healthcare_claim_review in healthcare.,0.836,0.99,1165,0.008512,0.97,True,True,False,False,0.932
task_00018,finance_domain_model,Simulated Finance Domain Model response for healthcare_claim_review in healthcare.,0.676,0.88,1039,0.006048,0.95,False,True,False,False,0.8353
task_00018,healthcare_domain_model,Simulated Healthcare Domain Model response for healthcare_claim_review in healthcare.,0.956,0.98,1081,0.00672,0.96,False,True,False,False,0.9653
task_00018,code_specialist_model,Simulated Code Specialist Model response for healthcare_claim_review in healthcare.,0.666,0.64,871,0.004928,0.94,False,True,False,False,0.7487
task_00018,cheap_batch_model,Simulated Cheap Batch Model response for healthcare_claim_review in healthcare.,0.336,0.58,661,0.000403,0.93,False,False,False,False,0.6153
task_00018,experimental_canary_model,Simulated Experimental Canary Model response for healthcare_claim_review in healthcare.,0.816,0.84,976,0.004704,0.9,False,True,False,False,0.852
task_00018,fallback_model,Simulated Fallback Model response for healthcare_claim_review in healthcare.,0.616,0.91,745,0.002016,0.99,False,True,False,False,0.8387
task_00019,fast_small_model,Simulated Fast Small Model response for finance_explanation in finance.,0.66,0.68,242,0.00063,0.94,False,True,False,False,0.76
task_00019,balanced_general_model,Simulated Balanced General Model response for finance_explanation in finance.,0.79,0.82,715,0.00288,0.96,False,True,False,False,0.8567
task_00019,accurate_large_model,Simulated Accurate Large Model response for finance_explanation in finance.,0.9,0.87,1485,0.0108,0.95,False,True,False,False,0.9067
task_00019,safety_guarded_model,Simulated Safety Guarded Model response for finance_explanation in finance.,0.84,0.96,990,0.00684,0.97,False,True,False,False,0.9233
